1.00,717,717,2.35,39954.86,68.54,737,737,2.30,29459.94,49.34,737,737,2.29,29446.73,49.51,759,759,2.33,41915.43,67.92,782,782,2.41,51140.11,81.14,783,783,2.39,48039.00,75.15,776,776,2.42,48006.80,76.44
1.00,684,684,2.30,38301.69,68.16,703,703,2.23,26817.51,44.24,703,703,2.23,26801.31,44.16,746,746,2.25,41949.69,67.28,749,749,2.37,51392.91,85.13,764,764,2.30,48138.06,75.02,750,750,2.33,49214.32,77.04
1.00,626,626,2.24,35212.32,67.34,643,643,2.20,24913.38,49.05,643,643,2.20,24814.12,49.01,687,687,2.16,37726.70,68.62,694,694,2.24,45324.07,83.61,695,695,2.25,42628.78,75.59,695,695,2.18,42085.51,75.84
1.00,639,639,2.34,37841.29,72.71,686,686,2.20,26534.21,45.56,686,686,2.20,26537.63,45.52,735,735,2.17,38950.32,63.21,747,747,2.22,46364.92,75.64,740,740,2.23,43397.26,69.82,736,736,2.25,43976.46,69.92
1.00,632,632,2.31,36129.39,69.70,667,667,2.22,25755.67,43.65,664,664,2.22,25495.74,43.26,716,716,2.23,38849.46,64.61,716,716,2.33,46950.29,83.24,725,725,2.28,43046.80,73.03,712,712,2.31,44188.34,73.14
1.00,638,638,2.42,37435.38,69.59,649,649,2.35,24801.35,44.53,649,649,2.35,24782.92,44.57,717,717,2.31,38269.55,59.50,734,734,2.41,49283.30,80.10,721,721,2.40,45442.18,73.77,737,737,2.35,46682.64,72.83
1.00,678,678,2.45,37625.08,66.89,690,690,2.40,27027.02,45.54,690,690,2.40,26987.43,45.52,754,754,2.35,40926.46,60.17,748,748,2.47,52751.40,84.86,752,752,2.45,47404.43,73.86,756,756,2.44,48763.24,73.73
1.00,597,597,2.40,36039.00,74.35,643,643,2.26,25933.79,49.12,645,645,2.25,25927.14,48.90,729,729,2.21,40115.13,67.45,719,719,2.31,48950.56,82.03,731,731,2.29,44555.17,74.97,724,724,2.26,45411.63,75.09
1.00,661,661,2.42,37357.01,68.48,674,674,2.34,25346.59,44.16,674,674,2.35,25343.78,44.33,713,713,2.31,38850.70,68.18,732,732,2.37,50722.54,88.77,743,743,2.33,47019.55,80.28,737,737,2.33,46025.59,76.41
1.00,635,635,2.31,34364.67,65.82,678,678,2.20,28269.60,51.26,682,682,2.20,28325.00,51.16,731,731,2.16,41121.94,68.91,740,740,2.22,50888.76,87.08,738,738,2.23,46670.66,76.35,738,738,2.24,47778.95,78.85
2.00,665,665,2.34,31870.80,60.81,681,681,2.22,24719.27,44.25,685,685,2.21,24835.83,44.84,730,730,2.18,32292.41,53.69,740,740,2.33,43571.41,74.91,765,765,2.31,41182.47,69.16,753,753,2.32,40137.76,65.50
2.00,693,693,2.19,32063.83,58.96,708,708,2.13,23715.67,40.90,713,713,2.12,23441.96,39.75,748,748,2.18,34230.42,58.95,783,783,2.33,43012.25,74.49,795,795,2.29,39749.14,64.57,775,775,2.34,39566.64,66.44
