10,9,9,29.50,3.26, 0.17,10,10,19.06,1.58, 0.16,10,10,11.91,1.05, 0.11,10,10,32.22,5.74, 0.17
10,6,6,45.09,8.67, 0.23,10,10,17.03,1.45, 0.13,10,10,14.34,1.23, 0.12,10,10,61.95,8.34, 0.31
10,9,9,33.67,4.29, 0.14,10,10,16.64,1.73, 0.11,10,10,10.53,1.07, 0.08,10,10,30.48,2.83, 0.16
10,6,6,33.92,9.02, 0.21,10,10,11.82,1.12, 0.20,10,10,8.02,0.71, 0.16,10,10,31.18,5.24, 0.18
10,10,10,54.37,6.02, 0.27,10,10,17.79,1.43, 0.15,10,10,13.14,1.11, 0.16,10,10,60.37,9.13, 0.27
10,8,8,32.54,4.65, 0.17,10,10,19.92,1.69, 0.15,10,10,13.04,1.05, 0.12,10,10,45.31,5.67, 0.22
10,10,10,44.38,7.38, 0.18,10,10,17.50,1.43, 0.13,10,10,12.67,1.07, 0.12,10,10,30.69,5.13, 0.26
10,10,10,54.37,6.22, 0.27,10,10,15.70,1.54, 0.14,10,10,8.70,0.88, 0.10,10,10,59.05,6.09, 0.26
10,10,10,34.13,6.99, 0.23,10,10,11.98,0.82, 0.12,10,10,11.75,0.81, 0.12,10,10,49.05,7.41, 0.26
10,10,10,36.16,6.41, 0.15,10,10,10.03,0.76, 0.08,10,10,9.33,0.73, 0.07,10,10,78.05,11.32, 0.26
10,10,10,22.32,2.13, 0.15,10,10,11.50,1.09, 0.14,10,10,9.63,0.99, 0.14,10,10,50.11,6.39, 0.28
10,9,9,28.29,4.68, 0.20,10,10,14.84,1.76, 0.19,10,10,10.17,1.12, 0.17,10,10,67.50,9.42, 0.36
10,9,9,30.30,3.39, 0.16,10,10,17.15,1.79, 0.12,10,10,12.03,1.17, 0.11,10,10,51.90,6.72, 0.25
10,8,8,45.07,5.90, 0.19,10,10,12.04,1.39, 0.10,10,10,8.81,0.79, 0.08,10,10,38.21,5.39, 0.17
10,10,10,33.10,3.86, 0.17,10,10,20.73,2.55, 0.13,10,10,7.35,0.61, 0.09,10,10,59.24,6.84, 0.26
10,8,8,38.79,4.99, 0.20,10,10,19.44,1.94, 0.15,10,10,12.27,1.23, 0.11,10,10,64.95,7.26, 0.30
10,10,10,53.71,8.36, 0.20,10,10,15.81,1.41, 0.13,10,10,9.51,0.85, 0.08,10,10,29.79,4.40, 0.20
10,10,10,32.46,2.90, 0.22,10,10,13.10,1.32, 0.19,10,10,7.92,0.58, 0.13,10,10,70.62,9.38, 0.37
10,10,10,46.57,5.92, 0.22,10,10,11.99,1.05, 0.09,10,10,7.95,0.70, 0.06,10,10,46.68,5.57, 0.25
10,10,10,35.63,4.94, 0.21,10,10,10.13,1.01, 0.17,10,10,7.76,0.76, 0.19,10,10,43.66,3.99, 0.24
20,18,18,59.01,7.08, 0.20,19,19,38.51,3.10, 0.14,20,20,35.75,5.07, 0.12,20,20,33.03,1.79, 0.15
20,17,17,57.65,6.00, 0.21,17,17,26.22,1.19, 0.10,17,17,18.71,0.74, 0.07,20,20,67.09,3.70, 0.19
20,19,19,63.91,5.37, 0.21,20,20,32.68,1.70, 0.16,20,20,19.79,0.78, 0.09,20,20,73.21,5.62, 0.21
20,20,20,60.32,5.17, 0.18,20,20,34.97,1.37, 0.15,20,20,20.91,0.87, 0.10,20,20,98.11,5.04, 0.32
20,20,20,61.68,6.35, 0.22,20,20,23.76,1.23, 0.17,20,20,16.32,0.79, 0.14,20,20,51.37,2.83, 0.22
20,20,20,107.52,6.97, 0.26,20,20,33.88,1.76, 0.09,20,20,23.77,1.24, 0.06,20,20,78.63,5.32, 0.20
20,20,20,62.08,4.49, 0.27,20,20,21.59,1.07, 0.13,20,20,19.13,0.86, 0.11,20,20,54.64,2.77, 0.26
20,20,20,83.33,4.50, 0.27,20,20,34.25,1.52, 0.10,20,20,20.83,0.87, 0.07,20,20,75.61,4.89, 0.23
20,20,20,69.99,3.96, 0.29,20,20,26.17,1.15, 0.12,20,20,20.46,0.94, 0.09,20,20,68.96,3.31, 0.21
20,20,20,75.85,5.39, 0.28,20,20,22.96,0.97, 0.11,20,20,15.63,0.68, 0.08,20,20,57.30,2.96, 0.20
20,19,19,49.24,4.82, 0.23,20,20,41.81,2.12, 0.21,20,20,33.62,1.85, 0.18,18,18,66.36,5.82, 0.30
20,20,20,48.15,2.74, 0.22,20,20,29.47,1.37, 0.16,20,20,14.35,0.64, 0.08,20,20,45.93,5.53, 0.14
20,16,16,59.23,5.36, 0.17,20,20,43.68,2.03, 0.14,19,19,34.85,1.95, 0.12,20,20,49.92,5.73, 0.14
20,20,20,80.90,6.63, 0.22,20,20,24.86,0.95, 0.09,20,20,18.85,0.78, 0.07,20,20,65.88,3.08, 0.25
20,20,20,73.25,6.39, 0.26,20,20,26.16,1.24, 0.14,20,20,12.58,0.69, 0.07,20,20,61.81,2.80, 0.27
20,17,17,73.10,6.04, 0.38,20,20,32.09,2.55, 0.29,20,20,22.14,1.19, 0.22,20,20,84.87,7.38, 0.42
