00100_t100_w01,106,32,32,32,32,0.29245283018867924,0.1509433962264151,0.0,0.0,1.96875,1.46875,1.71875,1.75,49.67968749999999,55.088750000000005
00100_t100_w02,103,33,33,33,33,1.0776699029126213,0.3106796116504854,0.0,0.0,1.9393939393939394,2.3636363636363638,2.878787878787879,2.8181818181818183,60.19818181818182,59.408484848484854
00100_t100_w03,107,27,27,27,27,0.29906542056074764,0.14953271028037382,0.0,0.0,1.7407407407407407,0.5925925925925926,2.074074074074074,2.037037037037037,41.21259259259259,47.39777777777777
00100_t100_w04,108,33,33,33,33,0.7314814814814815,0.5648148148148148,0.0,0.1388888888888889,2.8181818181818183,1.393939393939394,2.6363636363636362,2.6363636363636362,32.85151515151515,42.41454545454545
00100_t100_w05,103,45,45,45,45,1.5242718446601942,0.4563106796116505,0.0,0.1553398058252427,3.8666666666666667,2.422222222222222,3.1777777777777776,3.2222222222222223,47.214666666666666,54.029333333333334
00100_t100_w06,103,65,65,65,65,2.7281553398058254,1.058252427184466,0.1553398058252427,0.14563106796116504,4.8,2.1538461538461537,3.0153846153846153,3.0153846153846153,44.076461538461544,46.656000000000006
00100_t100_w07,105,62,62,62,62,3.4095238095238094,0.3142857142857143,0.1523809523809524,0.3047619047619048,4.016129032258065,2.532258064516129,2.7580645161290325,2.8225806451612905,34.01806451612903,39.30935483870967
00100_t100_w08,106,69,69,69,69,4.415094339622642,0.29245283018867924,0.0,0.1509433962264151,7.898550724637682,2.028985507246377,2.36231884057971,2.4057971014492754,53.36405797101449,56.08057971014493
00100_t100_w09,101,71,70,71,70,2.1683168316831685,0.31683168316831684,0.1485148514851485,0.0,3.943661971830986,2.0142857142857142,1.9859154929577465,2.0428571428571427,42.84718309859154,46.851142857142854
00100_t100_w10,107,73,73,73,73,4.373831775700935,0.42990654205607476,0.0,0.009345794392523364,6.232876712328767,2.3698630136986303,3.2739726027397262,3.2739726027397262,45.01520547945205,48.36794520547945
00100_t100_w100,101,99,99,99,99,5.2772277227722775,3.0693069306930694,0.7821782178217822,0.45544554455445546,12.93939393939394,8.828282828282829,18.050505050505052,18.151515151515152,20.837777777777777,22.76484848484848
00100_t100_w20,100,89,87,89,87,3.45,1.07,0.0,0.0,5.943820224719101,3.413793103448276,4.134831460674158,4.264367816091954,31.837303370786525,33.710689655172416
00100_t100_w200,102,100,100,100,100,4.607843137254902,6.264705882352941,1.5098039215686274,1.0686274509803921,20.14,19.2,37.05,37.03,17.879599999999996,18.706899999999997
00100_t100_w30,108,106,106,106,106,1.6296296296296295,1.0185185185185186,0.4166666666666667,0.28703703703703703,5.735849056603773,4.69811320754717,7.669811320754717,7.726415094339623,25.821132075471702,26.86924528301887
00100_t100_w300,100,100,100,100,100,8.46,7.91,2.97,2.47,32.77,32.3,74.55,74.49,14.612799999999998,14.3751
00100_t100_w40,108,105,105,105,105,2.5833333333333335,2.3055555555555554,0.2962962962962963,0.7129629629629629,6.980952380952381,6.552380952380952,11.733333333333333,11.761904761904763,19.52895238095238,20.869619047619047
00100_t100_w400,111,111,111,111,111,9.513513513513514,10.594594594594595,4.342342342342342,3.7927927927927927,54.693693693693696,56.090090090090094,125.55855855855856,125.55855855855856,10.146846846846847,10.110180180180182
00100_t100_w50,105,96,95,96,95,8.628571428571428,1.4857142857142858,0.3047619047619048,0.4666666666666667,15.125,7.231578947368421,13.21875,13.347368421052632,23.456249999999997,25.77547368421053
00100_t100_w500,103,103,103,103,103,9.339805825242719,8.553398058252426,3.766990291262136,3.7766990291262137,49.23300970873787,48.62135922330097,109.16504854368932,109.15533980582525,12.632815533980583,12.719320388349514
00100_t100_w60,107,103,103,103,103,2.7383177570093458,2.1682242990654204,0.4392523364485981,0.7383177570093458,10.145631067961165,9.398058252427184,18.58252427184466,18.58252427184466,22.1504854368932,23.563786407766997
00100_t100_w70,102,100,100,100,100,3.9411764705882355,2.156862745098039,0.46078431372549017,0.7549019607843137,9.99,9.36,17.69,17.69,21.934699999999992,22.8983
00100_t100_w80,108,102,103,102,103,3.185185185185185,3.0555555555555554,0.5740740740740741,0.2962962962962963,9.176470588235293,8.776699029126213,15.931372549019608,15.854368932038835,22.386470588235294,23.991456310679606
00100_t100_w90,107,104,104,104,104,3.9626168224299065,3.2429906542056073,0.7289719626168224,0.7289719626168224,10.798076923076923,9.942307692307692,19.067307692307693,19.009615384615383,19.23317307692308,20.106057692307694
00100_t10_w01,100,35,35,35,35,0.8,0.0,0.15,0.0,3.6,0.42857142857142855,1.3428571428571427,1.3428571428571427,80.28628571428573,82.30114285714285
00100_t10_w02,101,56,56,56,56,0.6138613861386139,0.0,0.0,0.0,0.8392857142857143,0.8571428571428571,2.1785714285714284,2.1785714285714284,70.47642857142856,70.88714285714283
00100_t10_w03,100,75,75,75,75,0.0,0.0,0.15,0.0,1.04,0.21333333333333335,2.2533333333333334,2.1866666666666665,56.4972,57.4296
00100_t10_w04,101,82,82,82,82,0.45544554455445546,0.15841584158415842,0.1485148514851485,0.0,0.926829268292683,0.5853658536585366,3.231707317073171,3.231707317073171,40.85780487804879,41.41195121951219
00100_t10_w05,100,82,82,82,82,0.77,0.94,0.15,0.15,1.8780487804878048,2.8536585365853657,3.9878048780487805,3.9878048780487805,42.42756097560974,42.67573170731706
00100_t10_w06,100,93,93,93,93,0.46,0.8,0.0,0.0,1.8387096774193548,2.3763440860215055,5.290322580645161,5.290322580645161,30.544946236559127,30.77537634408602
