2292,2292,11344.78,5.26,2461,2461,10559.38,4.49,2569,2569,9906.64,3.91,2508,2508,10497.75,4.39
2303,2303,11069.79,5.08,2486,2486,10476.76,4.30,2506,2506,10006.19,4.11,2490,2490,10414.64,4.32
2381,2381,11656.73,5.27,2562,2562,11117.15,4.50,2623,2623,10480.65,4.14,2569,2569,11002.91,4.51
2370,2370,11415.60,5.10,2528,2528,10751.83,4.35,2581,2581,10106.38,3.99,2549,2549,10604.15,4.33
2179,2179,10545.31,5.10,2348,2348,9986.89,4.36,2383,2383,9419.30,4.08,2329,2329,9749.89,4.32
2414,2414,11754.17,5.11,2559,2559,11148.35,4.49,2682,2682,10506.65,4.02,2612,2612,11187.27,4.41
2389,2389,11449.87,5.06,2518,2518,10685.01,4.38,2597,2597,10111.46,4.01,2518,2518,10841.20,4.45
2269,2269,11077.37,5.18,2417,2417,10202.39,4.35,2455,2455,9542.12,3.96,2425,2425,10137.24,4.43
2279,2279,11043.32,5.11,2448,2448,10417.06,4.36,2504,2504,9829.28,3.99,2449,2449,10317.06,4.41
2279,2279,11323.85,5.28,2487,2487,10708.29,4.44,2562,2562,10055.93,4.06,2533,2533,10640.57,4.38
2252,2252,10910.82,5.07,2423,2423,10294.92,4.36,2492,2492,9665.78,4.01,2470,2470,10530.56,4.42
2169,2169,10591.05,5.17,2364,2364,9938.03,4.30,2411,2411,9335.18,4.06,2385,2385,9897.66,4.32
2304,2304,11352.90,5.22,2483,2483,10705.22,4.42,2550,2550,10081.12,4.01,2483,2483,10585.46,4.41
2415,2415,11818.12,5.17,2557,2557,11096.98,4.46,2625,2625,10488.59,4.12,2532,2532,11140.84,4.63
2295,2295,11022.50,5.09,2438,2438,10552.51,4.42,2515,2515,9750.50,3.98,2429,2429,10381.35,4.46
2334,2334,11257.22,5.04,2485,2485,10568.36,4.34,2588,2588,9921.61,3.88,2496,2496,10715.02,4.43
2350,2350,11685.67,5.16,2503,2503,10940.32,4.50,2591,2591,10336.43,4.07,2545,2545,10825.14,4.38
2293,2293,11226.69,5.13,2441,2441,10591.67,4.48,2508,2508,9970.93,4.06,2497,2497,10554.82,4.35
2313,2313,11321.41,5.17,2517,2517,10940.42,4.50,2586,2586,10148.31,4.05,2524,2524,10706.58,4.39
2282,2282,11426.81,5.23,2464,2464,10808.62,4.50,2552,2552,9927.57,4.00,2473,2473,10556.28,4.42
2361,2361,11617.26,5.21,2537,2537,10970.88,4.43,2585,2585,10248.01,4.13,2520,2520,10841.74,4.45
2331,2331,11615.51,5.23,2519,2519,10812.84,4.41,2544,2544,10136.56,4.11,2507,2507,10926.72,4.53
2193,2193,10673.04,5.14,2381,2381,10081.54,4.32,2436,2436,9499.44,4.01,2379,2379,9904.31,4.28
2321,2321,11328.73,5.15,2493,2493,10796.06,4.44,2624,2624,9971.58,3.87,2563,2563,10687.88,4.26
2260,2260,10856.31,4.96,2369,2369,10084.14,4.38,2457,2457,9695.50,4.00,2423,2423,10208.90,4.32
2263,2263,10939.01,5.04,2363,2363,10189.30,4.45,2460,2460,9461.11,3.94,2430,2430,9987.84,4.20
2372,2372,11548.22,5.07,2484,2484,10866.21,4.46,2566,2566,10218.51,4.07,2553,2553,11070.52,4.45
2232,2232,10607.52,5.03,2370,2370,10246.49,4.49,2482,2482,9646.19,3.99,2406,2406,10185.85,4.38
2221,2221,10792.00,5.14,2408,2408,10123.66,4.32,2458,2458,9589.29,4.01,2439,2439,10204.30,4.33
2309,2309,11374.46,5.20,2450,2450,10688.61,4.52,2536,2536,9931.57,4.01,2450,2450,10696.84,4.53
2228,2228,10713.30,5.06,2396,2396,10144.64,4.33,2446,2446,9521.73,3.95,2387,2387,10003.96,4.38
