00100_t100_w01,109,20,20,20,20,17,20,8,7,10,9,17,20,0,0,0,0,0.293577982,0.28440367,0,0,0,0,0,0,2,4.428571429,0,5.222222222,1.823529412,2.3,3.875,5.428571429,6.9,7.111111111,3.235294118,2.7,108.98625,86.37714286,58.813,67.38111111,67.72,71.142
00100_t100_w02,102,39,39,39,39,34,34,11,12,23,11,34,34,0,0.156862745,0.156862745,0,0.911764706,0.921568627,0,0,0,0,0,0.147058824,1.363636364,2.583333333,2,1.454545455,3.235294118,4.147058824,4.363636364,4.583333333,5.652173913,4.818181818,2.058823529,2.176470588,134.8336364,113.6883333,59.10652174,98.49454545,47.77558824,48.35235294
00100_t100_w03,101,34,34,34,34,34,34,9,11,12,9,34,34,0.158415842,0,0,0,2.158415842,3.089108911,0,0,0,0,0,0,1.666666667,1.363636364,5.166666667,1.666666667,5.529411765,4.117647059,4.111111111,3.363636364,4.5,3.444444444,1.911764706,1.705882353,109.5177778,97.66636364,79.3025,120.7288889,59.80441176,68.49647059
00100_t100_w04,101,49,49,49,49,46,46,12,12,22,12,46,46,0,0,0,0,2.158415842,4.792079208,0,0,0,0,0.148514851,0.316831683,1.333333333,2.583333333,1.5,0,6.108695652,11.54347826,4.5,3.416666667,4.681818182,3.916666667,2.304347826,2,156.3266667,110.6758333,73.865,103.2541667,45.39630435,53.71913043
00100_t100_w05,101,63,63,63,63,52,52,22,16,31,17,52,52,0,0,0.148514851,0.158415842,6.188118812,3.386138614,0,0,0,0,0.148514851,0.465346535,0.727272727,2,2.032258065,1.882352941,10.51923077,7.826923077,3.863636364,2.9375,4,3.764705882,2.269230769,2.057692308,109.4163636,111.41125,57.98580645,156.76,51.42192308,61.66615385
00100_t100_w06,107,74,74,74,72,73,72,31,30,44,20,73,72,0.140186916,0.14953271,0.009345794,0.588785047,1.168224299,7.598130841,0,0,0,0,0,0,1.516129032,2.066666667,2.5,1.6,4.506849315,11.90277778,4.838709677,3.633333333,4.681818182,5.5,2.876712329,2.472222222,77.86354839,78.621,48.3575,72.1435,39.4560274,58.27222222
00100_t100_w07,105,73,73,73,73,62,63,29,28,42,28,62,63,0.142857143,0.152380952,0.152380952,0.304761905,2.980952381,3.733333333,0,0,0,0,0,0,4.310344828,2.785714286,3.714285714,3.357142857,2.790322581,7.682539683,4.034482759,3.035714286,5.261904762,4.214285714,2.677419355,2.873015873,83.74517241,97.465,65.56809524,96.68642857,41.34693548,54.2115873
00100_t100_w08,102,51,51,51,51,44,44,13,13,21,11,44,44,0.156862745,0.294117647,0.156862745,0.31372549,2.460784314,3.960784314,0,0,0,0,0,0.31372549,1.230769231,0,2.285714286,1.454545455,5.295454545,7.75,4.923076923,5.153846154,6.19047619,6.454545455,2.136363636,2.204545455,110.6946154,119.0576923,76.36190476,106.1145455,53.86772727,57.62727273
00100_t100_w09,109,74,74,74,72,60,61,26,20,37,22,60,61,0.146788991,0.146788991,0.137614679,0,1.71559633,2.155963303,0,0,0,0,0,0.146788991,0.615384615,2.4,2.108108108,0.681818182,3.916666667,4.590163934,3.076923077,2.85,4.324324324,4.227272727,2.133333333,1.885245902,97.11884615,114.945,74.77702703,89.70863636,53.84483333,61.16016393
00100_t100_w10,105,94,94,94,94,80,81,33,31,64,31,80,81,0.295238095,0.59047619,0.295238095,0.295238095,4.60952381,2.828571429,0,0,0,0,0.142857143,0.304761905,1.424242424,5.548387097,3.15625,3.516129032,5.6375,5.222222222,6.818181818,4.548387097,6.265625,5.032258065,3.0875,3.197530864,102.0427273,81.62064516,47.4490625,88.39193548,36.91775,64.09
00100_t100_w101,100,100,100,100,100,96,96,42,33,95,30,96,96,2.97,2.98,1.88,2.64,4.73,5.33,0,0,0,0.79,0.31,3.59,11.61904762,9.818181818,11.16842105,10.9,12.51041667,16.75,55.78571429,49.84848485,53.50526316,50,21.5625,22.03125,117.8842857,78.28545455,19.94326316,92.598,18.52895833,92.34427083
