0.50,613,613,2.83,48644.57,76.68,629,629,2.82,34409.67,53.34,629,629,2.82,34351.18,53.23,617,617,2.80,48752.04,77.58,617,617,2.82,53853.53,87.15,614,614,2.84,50885.71,83.50,627,627,2.79,50452.14,80.49
0.50,601,601,2.78,47639.89,79.94,608,608,2.81,33913.46,55.06,607,607,2.82,33782.41,54.98,607,607,2.81,48668.85,80.31,601,601,2.84,52711.75,88.76,600,600,2.83,51206.91,86.11,598,598,2.78,50234.70,84.25
0.50,624,624,2.54,46694.43,74.77,628,628,2.54,33264.86,53.72,628,628,2.54,33259.85,53.63,619,619,2.55,46792.88,77.40,618,618,2.55,50502.66,85.05,625,625,2.54,47713.80,76.70,626,626,2.52,49221.63,80.90
0.50,641,641,2.69,51373.56,79.40,645,645,2.68,36299.30,55.49,645,645,2.68,36286.81,55.58,651,651,2.64,49519.80,75.01,650,650,2.65,54042.18,82.70,646,646,2.69,53647.96,83.28,638,638,2.68,50448.23,79.60
0.50,626,626,2.70,48252.52,77.82,630,630,2.71,34124.10,54.07,630,630,2.71,34026.36,53.94,623,623,2.71,47810.97,76.98,630,630,2.70,52665.34,84.18,629,629,2.71,50424.30,80.50,622,622,2.70,49561.22,80.30
0.50,594,594,2.55,46761.45,78.54,605,605,2.53,33106.53,54.13,605,605,2.53,33102.61,54.08,596,596,2.52,47031.45,78.46,596,596,2.53,50671.76,84.91,593,593,2.58,47747.68,80.33,608,608,2.51,48380.37,79.50
0.50,623,623,2.69,50766.79,82.58,621,621,2.73,34719.14,55.86,620,620,2.73,34562.52,55.84,611,611,2.73,49659.57,81.38,614,614,2.74,54294.19,89.99,610,610,2.73,51266.34,86.19,615,615,2.70,50917.90,84.20
0.50,627,627,2.79,48663.31,76.76,640,640,2.78,34415.01,52.92,640,640,2.78,34290.67,52.82,641,641,2.77,49208.75,75.66,639,639,2.78,52589.95,83.15,625,625,2.84,51686.97,82.65,625,625,2.82,49591.66,79.83
0.50,628,628,2.68,51519.65,80.28,634,634,2.69,36672.78,57.34,632,632,2.69,36504.99,57.58,631,631,2.69,51625.49,81.48,633,633,2.69,55629.88,88.33,630,630,2.71,52770.93,84.33,641,641,2.66,53787.05,85.58
0.50,627,627,2.75,49593.63,78.24,635,635,2.74,34990.91,54.50,634,634,2.74,34869.21,54.21,625,625,2.73,48983.04,77.62,631,631,2.75,55173.28,87.92,625,625,2.80,51695.20,83.53,626,626,2.74,51088.39,82.19
1.00,615,615,2.71,46608.30,75.12,640,640,2.65,34727.71,53.46,640,640,2.66,34590.14,53.56,626,626,2.64,49355.90,80.47,632,632,2.66,54617.21,89.69,619,619,2.70,52911.02,86.83,636,636,2.64,52457.52,84.39
