0.05,14.275,14.625,14.805,14.86
0.1,24.03,24.71,25.365,25.335
0.15,32.435,33.845,34.655,34.25
0.2,39.64,41.805,42.74,42.525
0.25,47.79,50.83,52.655,51.34
0.3,53.545,57.56,59.985,58.08
0.35,59.98,65,67.475,65
0.4,63.545,70.35,72.82,69.935
0.45,68.325,74.89,78.09,74.755
0.5,70.41,77.85,80.895,77.155
0.5,72.85,80.925,84.095,80.57
0.55,76.17,83.755,87.065,83.325
0.6,76.13,85.11,88.02,84.99
0.65,78.86,87.01,90,86.815
0.7,79.915,88.325,91.125,88.26
0.75,80.985,89.085,91.41,89.01
0.8,82.295,89.995,92.61,89.66
0.85,82.74,90.81,93.11,91.005
0.9,83.84,90.965,93.35,91.1
0.95,84.195,91.295,93.73,91.835
1,85.76,92.775,95.07,93.01
1.1,86.545,92.675,94.74,92.95
1.2,86.965,93.435,95.68,93.85
1.3,87.54,93.605,95.405,94.37
1.4,88.455,93.78,95.64,94.66
1.5,89.01,94.45,96.035,95.175
1.6,88.74,94.03,96.075,95.015
1.7,89.58,94.73,96.135,95.405
1.8,89.535,94.645,96.17,95.56
1.9,89.94,94.78,96.45,95.685
2,91.635,95.74,96.915,96.345
3,91.885,95.5,96.36,96.415
4,92.595,95.475,96.37,96.305
5,92.75,95.555,96.205,96.21
6,92.775,95.33,95.935,95.89
7,92.82,95.245,95.72,95.65
8,92.93,95.05,95.605,95.53
9,93.61,95.445,95.82,95.79
10,93.28,95.18,95.48,95.435
11,93.58,95.305,95.59,95.585
12,92.84,94.76,95.025,95.06
13,93.405,95.14,95.335,95.33
14,93.2,94.775,95.055,95.085
15,93.485,94.71,94.955,95
16,93.375,94.65,94.855,94.76
17,93.33,94.645,94.825,94.82
18,93.415,94.625,94.685,94.71
19,93.09,94.26,94.42,94.45
20,94,95.6,95.6,95.6
