0.13,589,0.58,2.43,43536.84,78.28,600,0.22,2.38,32497.75,57.94,600,0.38,2.38,32497.75,57.94,608,0.31,2.39,44986.34,80.35,607,0.74,2.41,55081.85,96.17,605,471.63,2.40,49546.69,87.51,607,0.44,2.40,50499.10,88.05
0.13,617,0.28,2.44,47670.45,81.28,623,0.25,2.40,33721.56,57.37,623,0.39,2.40,33721.56,57.37,627,0.33,2.41,45575.07,76.36,628,0.53,2.43,55145.55,91.70,631,473.93,2.42,51436.75,85.32,630,0.28,2.43,50240.34,83.09
0.13,602,0.24,2.64,47618.12,84.17,608,0.35,2.60,32462.97,56.61,608,0.44,2.60,32462.97,56.61,613,0.33,2.59,46817.16,81.25,612,0.86,2.61,55601.51,95.17,614,514.29,2.61,52464.51,89.84,613,0.35,2.61,52376.10,89.16
0.13,567,0.36,2.41,47199.31,88.73,575,0.33,2.37,32349.44,60.87,575,0.43,2.37,32349.44,60.87,586,0.32,2.34,45457.79,82.43,587,0.50,2.36,54955.52,99.03,587,425.98,2.35,51556.23,92.94,585,0.34,2.36,51244.30,92.45
0.13,596,0.27,2.46,46916.64,82.54,604,0.25,2.44,33118.02,57.57,604,0.30,2.44,33118.02,57.57,612,0.27,2.43,47644.97,81.68,611,0.55,2.45,55444.81,93.80,610,659.58,2.44,51637.84,88.00,612,0.34,2.42,51078.05,86.75
0.25,608,0.39,2.64,46409.27,83.69,623,0.28,2.60,30859.39,54.67,623,0.37,2.60,30757.84,54.75,628,0.30,2.61,46168.29,81.33,639,0.76,2.62,55257.76,94.66,632,538.18,2.63,52347.87,91.21,637,0.39,2.61,51589.17,87.35
0.25,604,0.33,2.49,43632.74,79.10,609,0.33,2.46,32625.99,58.38,609,0.33,2.46,32585.87,58.27,635,0.22,2.42,48222.11,83.28,639,0.55,2.43,55981.77,94.42,636,448.97,2.42,52395.65,88.37,642,0.28,2.41,53421.89,88.91
0.25,587,0.24,2.43,41897.54,75.64,591,0.25,2.40,28624.15,51.96,591,0.26,2.40,28624.15,51.96,606,0.27,2.38,44181.05,77.23,611,0.54,2.38,51757.45,89.53,607,469.84,2.38,47372.38,83.56,610,0.56,2.38,48631.92,84.33
0.25,572,0.34,2.44,44381.36,84.46,585,0.22,2.41,31128.69,58.25,585,0.28,2.41,31094.96,58.28,607,0.17,2.37,44353.58,78.42,610,0.48,2.39,53527.62,94.75,606,409.42,2.39,51116.54,91.11,610,0.36,2.38,48426.44,85.50
0.25,607,0.28,2.39,41804.87,75.79,621,0.23,2.34,29539.72,52.03,621,0.33,2.34,29539.72,52.03,631,0.31,2.35,44117.97,75.94,635,0.68,2.36,52393.45,90.19,633,532.95,2.36,49195.78,84.35,633,0.31,2.36,46478.68,80.20
