4.00,513,513,2.16,36882.79,69.16,545,545,2.14,31149.91,56.34,538,538,2.14,30750.11,56.17,514,514,2.09,35878.28,68.83,512,512,2.13,39644.30,79.81,500,500,2.20,38283.63,78.15,520,520,2.17,38952.71,77.34
4.00,604,604,2.53,43712.78,75.03,633,633,2.62,34045.57,52.51,634,634,2.65,32918.96,50.96,604,604,2.48,42445.56,71.75,588,588,2.51,47133.65,81.87,612,612,2.52,46346.07,79.99,614,614,2.50,45741.41,76.16
4.00,567,567,2.81,39990.60,71.11,614,614,2.80,31593.92,51.68,614,614,2.80,31432.80,50.93,590,590,2.70,40235.16,66.45,585,585,2.82,45308.52,80.71,584,584,2.83,42420.96,77.20,598,598,2.67,43195.40,71.71
4.00,497,497,2.29,35519.48,72.57,537,537,2.32,29495.25,54.88,534,534,2.31,29763.08,56.54,519,519,2.26,36202.02,70.09,516,516,2.28,40043.77,78.93,495,495,2.29,39921.19,83.44,530,530,2.18,39559.45,76.80
4.00,597,597,2.51,42756.35,71.55,621,621,2.53,33886.09,53.83,627,627,2.53,33566.70,52.53,592,592,2.40,43416.99,73.86,576,576,2.46,47885.47,86.83,599,599,2.53,45174.42,79.64,584,584,2.53,44561.76,78.72
4.00,512,512,2.30,37668.33,69.54,545,545,2.30,32017.93,56.44,535,535,2.34,30742.08,54.30,520,520,2.28,38819.48,74.54,511,511,2.27,43145.71,85.30,517,517,2.27,40436.52,81.14,524,524,2.27,40344.82,75.60
4.00,641,641,2.63,43094.12,64.80,694,694,2.58,35661.98,50.73,690,690,2.57,34927.95,50.52,644,644,2.60,45184.57,70.98,628,628,2.65,50047.73,80.53,600,600,2.77,46837.42,79.39,663,663,2.62,47074.97,72.11
4.00,536,536,2.44,40455.59,76.45,571,571,2.52,32237.18,56.76,582,582,2.46,32590.25,56.33,567,567,2.40,42511.61,74.37,563,563,2.34,46639.01,85.19,548,548,2.49,43011.00,82.40,563,563,2.38,41673.13,73.93
4.00,578,578,2.43,40799.66,72.50,607,607,2.45,30754.40,50.44,609,609,2.43,30839.31,50.61,584,584,2.48,39931.33,67.39,562,562,2.51,43469.22,79.00,584,584,2.52,40920.93,71.49,582,582,2.38,40149.44,68.74
4.00,564,564,2.60,38607.90,66.29,598,598,2.60,32650.70,53.15,589,589,2.68,31197.21,52.30,573,573,2.52,39019.96,67.22,549,549,2.65,43379.48,79.46,571,571,2.55,41610.92,74.25,571,571,2.56,43085.08,77.22
8.00,517,517,2.51,36129.99,70.47,575,575,2.67,29939.87,53.26,565,565,2.73,29865.21,53.34,517,517,2.48,34388.90,66.73,511,511,2.47,38843.09,77.47,529,529,2.49,38682.73,75.21,537,537,2.47,37363.60,69.82
8.00,487,487,2.55,34707.06,72.78,557,557,2.56,29210.43,52.54,557,557,2.56,29108.26,53.20,526,526,2.46,34646.88,67.40,492,492,2.49,38966.87,85.47,495,495,2.46,37486.92,78.05,514,514,2.44,36338.54,74.37
8.00,501,501,2.19,34513.29,70.23,536,536,2.32,29383.86,53.30,547,547,2.31,28090.21,50.99,507,507,2.20,33164.12,66.08,479,479,2.21,36579.65,80.79,502,502,2.23,35570.54,72.78,505,505,2.11,35814.64,72.46
8.00,532,532,2.29,35033.44,67.93,576,576,2.45,29858.06,52.01,578,578,2.46,29269.34,50.74,506,506,2.41,33664.90,68.38,513,513,2.27,38474.84,80.84,516,516,2.41,36658.63,73.26,538,538,2.29,35945.13,69.91
8.00,510,510,2.28,34401.65,68.16,535,535,2.32,28905.27,53.88,533,533,2.32,27689.33,51.99,489,489,2.25,33978.96,73.27,494,494,2.20,37092.24,80.53,475,475,2.41,34896.00,81.69,485,485,2.26,35371.02,73.27
8.00,471,471,1.98,33943.00,75.49,514,514,2.15,29651.06,58.56,525,525,2.17,28869.09,56.74,468,468,2.09,32780.09,71.47,459,459,2.05,36032.29,80.28,472,472,2.07,34961.46,76.28,484,484,1.96,35679.85,77.35
8.00,494,494,2.31,32391.69,68.49,533,533,2.30,27529.99,53.23,531,531,2.32,26930.28,50.03,479,479,2.27,30837.46,67.30,480,480,2.24,34301.88,78.28,480,480,2.31,34553.17,74.69,490,490,2.17,33925.59,71.89
8.00,567,567,2.59,38304.39,69.15,639,639,2.60,32475.06,51.44,637,637,2.58,31040.26,49.51,596,596,2.39,37158.93,63.33,591,591,2.47,41794.29,74.19,590,590,2.52,40300.51,70.16,592,592,2.45,39892.32,68.87
8.00,454,454,2.15,30911.39,71.19,493,493,2.20,27786.86,57.57,507,507,2.11,26815.96,52.22,459,459,2.13,31892.64,69.50,463,463,2.13,34081.55,74.84,480,480,2.03,33692.65,71.13,470,470,2.12,32927.80,71.14
8.00,523,523,2.27,33780.11,63.19,547,547,2.43,26944.28,48.89,573,573,2.38,27675.40,48.18,523,523,2.22,33636.52,66.15,510,510,2.28,35700.67,71.54,517,517,2.28,34824.12,67.28,523,523,2.30,34242.17,66.98
16.00,299,299,1.62,18355.17,61.61,306,306,1.71,17609.01,57.27,307,307,1.64,17202.31,57.23,282,282,1.80,17828.66,66.60,283,283,1.69,18686.55,69.61,287,287,1.63,19300.66,72.02,290,290,1.73,19629.14,68.83
16.00,334,334,1.78,21142.64,66.15,340,340,1.91,19787.37,59.97,347,347,1.93,18620.62,55.66,320,320,1.92,21865.35,69.02,314,314,1.89,22206.19,75.60,328,328,1.97,22009.26,68.93,324,324,1.90,22323.43,73.51
