00100,55,61,61,60,60,63,64,1.11,0.16,0.46,0.62,0.47,0.83,0.3,0.0,0.0,0.0,0.15,0.48,0.17,309.21,60.210727272727276,30.0860655737705,30.0860655737705,49.571999999999996,62.35050000000001,49.43777777777776,50.64546875000001
00500,342,355,356,367,385,376,377,0.5289421157684631,0.21756487025948104,0.3073852295409182,0.40119760479041916,0.47105788423153694,0.37524950099800397,0.499001996007984,0.0,0.0,0.12574850299401197,0.0,0.16367265469061876,0.029940119760479042,667.6387225548903,51.20818713450291,37.279774647887336,36.52522471910112,53.83128065395098,60.391246753246755,59.644015957446825,57.69283819628648
01000,704,746,745,776,807,798,811,0.403,0.452,0.394,0.407,0.701,0.448,0.485,0.0,0.016,0.063,0.031,0.361,0.079,1898.23,54.41144886363638,34.665576407506705,34.67638926174497,52.46673969072163,60.282094175960346,56.71789473684206,53.531097410604175
02500,1729,1810,1803,1892,1938,1944,1943,0.538,0.3304,0.3356,0.526,0.47,0.5424,0.3328,0.0,0.0,0.0624,0.0444,0.424,0.1124,3556.2288,51.33216888374782,33.30137569060776,33.22188574597891,49.493868921775906,57.81001031991745,55.090195473251036,51.882650540401364
05000,3534,3748,3746,3852,3908,3934,3988,0.46510697860427913,0.42491501699660067,0.33313337332533494,0.46130773845230955,0.4295140971805639,0.40431913617276544,0.40751849630073983,0.0,0.0,0.0687862427514497,0.08038392321535692,0.39632073585282945,0.133373325334933,4251.696460707858,55.00302207130731,35.6352081109925,35.49855846235987,52.475210280373915,62.62458034800409,58.596095577020954,57.16353560682055
00100,68,70,71,82,78,76,80,0.30097087378640774,0.2912621359223301,0.6116504854368932,0.7669902912621359,0.4563106796116505,0.4563106796116505,0.6019417475728155,0.0,0.0,0.0,0.0,0.4563106796116505,0.0,133.05825242718447,64.06073529411765,39.366571428571426,38.38760563380281,55.84439024390244,67.07397435897435,63.472236842105254,54.681625
00500,370,394,394,385,374,385,380,0.344,0.252,0.274,0.434,0.376,0.564,0.496,0.0,0.0,0.04,0.03,0.38,0.06,1099.838,51.65513513513512,34.85154822335026,34.805685279187806,47.0282077922078,62.32270053475934,58.451896103896075,54.762447368421036
01000,698,724,721,753,781,775,773,0.4645354645354645,0.35364635364635366,0.3306693306693307,0.35764235764235763,0.5774225774225774,0.5274725274725275,0.5734265734265734,0.0,0.0,0.07592407592407592,0.0939060939060939,0.2827172827172827,0.07792207792207792,1928.7412587412587,56.37170487106014,36.343687845303855,36.162219140083224,52.56328021248336,61.99855313700389,57.52292903225804,57.20975420439846
02500,1807,1861,1877,1965,1998,2017,2027,0.4332,0.3856,0.3376,0.4792,0.48,0.4608,0.38,0.0,0.0,0.1196,0.0496,0.4988,0.1372,3407.5276,54.249579413392446,36.01834497581947,35.52230687266917,51.14882442748091,60.51518518518519,57.528755577590424,55.49001480019736
05000,3565,3834,3852,3950,3971,3980,4041,0.4777044591081784,0.35752849430113975,0.41811637672465507,0.41151769646070785,0.4165166966606679,0.3899220155968806,0.40251949610077986,0.0061987602479504095,0.0,0.06898620275944811,0.07498500299940011,0.4415116976604679,0.11317736452709458,4965.27074585083,54.51939130434776,34.559259259259235,34.222593457943915,49.73045822784804,60.266325862503116,57.183796482412056,54.34991091314028
00100,56,58,58,60,60,60,59,0.4752475247524752,0.33663366336633666,0.3069306930693069,0.3069306930693069,0.31683168316831684,0.6138613861386139,0.297029702970297,0.0,0.0,0.0,0.0,0.297029702970297,0.0,126.6930693069307,58.47089285714286,40.20862068965517,40.20862068965517,49.609666666666655,57.899833333333326,58.30699999999999,48.81084745762711
