8.00,1001,19.37,40727.89,47.60,0.84,0.00,1001,19.29,15016.28,16.43,0.74,0.01,1001,19.27,14988.15,16.28,0.72,0.29,1001,19.88,40493.77,47.23,0.79,0.23,1001,20.84,69146.72,79.08,0.78,0.76,1001,21.25,66534.20,73.14,0.77,252.78,1001,21.38,61585.95,67.61,0.77,0.38
8.00,1001,21.85,41827.31,47.55,0.81,0.00,1001,21.81,15603.49,16.58,0.75,0.00,1001,21.80,15654.38,16.76,0.73,0.31,999,22.59,42043.18,48.52,0.78,0.25,1001,23.60,74245.44,82.45,0.77,0.76,1001,23.94,72487.51,78.16,0.79,230.14,1001,23.88,66206.81,71.87,0.77,0.41
8.00,1002,22.00,41642.62,46.50,0.79,0.00,1002,22.02,14800.79,15.97,0.76,0.01,1002,22.01,14529.89,15.60,0.77,0.33,1001,22.50,40119.51,47.60,0.84,0.23,1002,23.45,72965.39,82.50,0.76,0.74,1002,23.94,71142.70,77.34,0.79,232.26,1002,23.78,64993.97,70.47,0.78,0.41
8.00,998,20.47,40017.30,46.24,0.80,0.00,998,20.42,15199.81,16.73,0.75,0.01,998,20.41,15118.12,16.56,0.72,0.30,999,21.10,41779.76,48.16,0.78,0.22,998,21.89,72778.07,81.79,0.74,0.76,998,22.37,68699.91,74.26,0.75,226.54,999,22.25,63115.07,68.41,0.78,0.40
16.00,1001,39.05,40229.35,45.44,0.97,0.01,1001,38.96,11197.74,11.86,0.93,0.01,1001,38.97,11070.75,11.74,0.96,0.43,1001,39.88,39127.57,46.74,1.00,0.35,1001,41.27,75844.18,80.04,0.93,0.94,1001,41.45,74208.48,78.69,0.92,237.97,1001,42.01,67276.97,69.90,0.92,0.55
16.00,997,41.39,42373.42,47.72,1.02,0.01,1000,41.17,12083.40,12.37,0.93,0.01,1000,41.19,11996.22,12.25,0.91,0.47,1000,42.10,40263.90,46.90,1.00,0.39,998,43.48,82139.56,86.92,0.95,0.93,998,43.50,75948.48,79.95,0.92,245.86,1000,43.80,69092.89,71.80,0.95,0.55
16.00,999,41.01,40600.34,46.42,1.00,0.00,999,40.96,11817.02,12.26,0.94,0.01,999,40.95,11851.88,12.33,0.95,0.46,999,41.86,41241.77,47.89,0.99,0.40,999,43.26,78910.20,82.88,0.93,0.94,999,43.20,77745.01,81.90,0.92,239.31,999,43.52,67490.79,70.66,0.92,0.57
16.00,1002,41.05,40574.73,46.55,1.02,0.01,1002,41.00,11734.30,12.42,0.96,0.01,1002,41.00,11653.95,12.35,0.93,0.47,1002,41.68,39593.90,45.49,0.98,0.40,1002,43.20,81023.88,85.22,0.93,0.95,1002,43.33,77363.78,81.21,0.93,249.28,1002,43.60,68315.83,70.27,0.93,0.56
16.00,999,43.79,41585.74,46.67,1.00,0.01,999,43.73,11621.78,12.23,0.95,0.01,999,43.74,11495.51,12.21,0.97,0.51,999,44.48,39528.82,46.57,0.99,0.39,999,45.79,78761.27,82.47,0.93,0.94,999,45.78,76313.62,80.27,0.94,255.69,999,46.15,68624.15,71.26,0.94,0.60
32.00,1000,82.81,39144.81,44.18,1.02,0.01,1000,82.75,8877.03,8.96,0.99,0.02,1000,82.75,8794.52,8.84,1.04,0.68,1000,83.59,38428.90,42.99,1.06,0.52,1000,85.46,86037.26,88.05,1.03,0.99,1000,85.16,79173.89,86.27,1.00,274.33,1000,85.86,69132.59,70.62,1.02,0.81
32.00,1002,82.98,40805.04,45.27,1.05,0.02,1002,82.97,8804.07,8.74,1.04,0.01,1002,82.97,8747.94,8.70,1.04,0.66,1002,83.87,42207.73,50.11,1.07,0.59,1002,85.71,87028.94,88.45,0.99,1.00,1002,85.33,80360.48,85.59,0.99,281.40,1002,86.33,68451.43,70.60,1.00,0.81
32.00,1002,83.66,40437.71,45.21,1.04,0.02,1002,83.67,8980.36,9.00,1.03,0.01,1002,83.66,8937.22,8.93,1.00,0.66,1002,84.72,40750.79,45.26,1.05,0.56,1002,86.29,87269.31,88.21,1.02,0.99,1002,85.85,80592.29,85.79,0.99,262.16,1002,86.37,68501.79,70.71,1.02,0.81
32.00,999,85.51,40806.55,45.64,1.05,0.02,1000,85.37,8668.94,8.51,1.04,0.02,999,85.46,8642.01,8.47,1.03,0.66,1000,86.39,41132.72,46.78,1.03,0.59,1000,87.92,87137.39,88.84,0.99,0.99,1000,87.72,80847.71,85.61,0.99,276.93,1000,88.32,67909.99,69.90,1.00,0.84
32.00,1004,85.18,39379.82,43.92,1.59,0.03,1004,85.15,8884.40,8.82,1.03,0.02,1004,85.15,8926.59,8.84,1.00,0.68,1004,85.97,40818.34,46.60,1.09,0.58,1004,88.04,88926.12,90.45,1.00,1.00,1004,87.43,82156.35,88.42,1.02,298.23,1004,88.06,68305.75,70.02,1.01,0.83
64.00,1002,164.69,39344.40,43.69,1.02,0.03,1002,164.64,6267.77,6.19,1.01,0.04,1002,164.64,6258.56,6.20,1.07,0.94,1002,165.60,39619.98,44.92,1.06,0.82,1002,167.61,89837.35,90.00,1.01,1.01,1002,166.78,75620.90,85.00,1.02,325.75,1002,167.87,67438.23,68.92,1.01,0.99
64.00,1001,160.98,38333.11,43.24,1.03,0.03,1001,160.98,6543.23,6.48,1.01,0.04,1001,160.98,6539.83,6.46,1.08,0.92,1001,162.14,38798.29,43.47,1.03,0.83,1001,164.13,90490.46,90.85,1.02,1.01,1001,163.01,76009.86,86.23,1.00,322.99,1001,164.39,64958.00,66.86,1.01,0.97
64.00,1001,167.57,41458.97,45.49,1.03,0.03,1001,167.55,6414.91,6.33,1.01,0.04,1001,167.55,6395.77,6.30,1.07,0.94,1001,168.50,38890.96,43.11,1.03,0.84,1001,170.45,93862.14,94.38,1.04,1.01,1001,169.29,76948.01,87.69,1.05,324.74,1001,171.11,70189.42,71.80,1.01,0.98
64.00,1000,162.27,40835.64,45.29,1.02,0.03,1000,162.24,6513.85,6.24,1.01,0.04,1000,162.24,6485.34,6.22,1.00,0.91,1000,163.32,39446.96,46.53,1.02,0.81,1000,165.28,91213.68,91.73,1.00,1.01,1000,164.55,76486.84,83.56,1.01,318.92,1000,165.54,69321.71,70.34,1.04,0.97
,39200.40,43.79,1.09,0.02,1004,163.23,6415.49,6.34,1.07,0.04,1004,163.24,6400.75,6.34,1.04,0.92,1004,164.27,40456.85,46.13,1.08,0.83,1004,166.44,90990.98,91.09,1.01,1.01,1004,165.34,74342.58,82.02,1.01,329.63,1004,166.43,67501.91,68.46,1.03,0.98
