1,130,130,772.15,6.08, 1.07, 0.87,137,137,731.97,5.61, 1.09, 0.83,140,140,689.27,4.97, 1.09, 0.80,149,149,692.81,4.69, 1.09, 0.81
1,141,141,816.20,6.43, 1.05, 0.86,142,142,755.18,5.50, 1.04, 0.78,149,149,765.86,5.28, 1.05, 0.81,162,162,729.25,4.50, 1.05, 0.78
1,160,160,999.11,6.62, 1.15, 0.77,183,183,965.42,5.07, 1.16, 0.73,198,198,941.33,4.61, 1.13, 0.72,207,207,950.58,4.31, 1.17, 0.73
1,130,130,786.70,6.28, 1.04, 0.85,146,146,785.81,5.44, 1.03, 0.86,153,153,721.80,4.88, 1.05, 0.79,154,154,703.57,4.64, 1.06, 0.77
1,156,156,1025.09,7.08, 1.16, 0.77,190,190,1047.04,5.45, 1.12, 0.78,201,201,966.33,4.72, 1.16, 0.72,206,206,1033.97,4.88, 1.13, 0.78
1,173,173,1019.10,6.08, 1.10, 0.85,182,182,980.53,5.48, 1.17, 0.80,191,191,921.24,4.94, 1.18, 0.75,204,204,889.07,4.45, 1.22, 0.75
1,150,150,895.26,6.25, 1.05, 0.88,163,163,799.00,4.86, 1.09, 0.78,166,166,838.44,4.94, 1.07, 0.82,170,170,800.42,4.82, 1.08, 0.80
1,116,116,752.71,6.93, 1.05, 0.86,130,130,700.72,5.55, 1.03, 0.82,140,140,696.04,5.20, 1.06, 0.82,145,145,712.41,4.90, 1.06, 0.84
1,130,130,740.61,5.95, 1.07, 0.79,135,135,707.71,5.60, 1.05, 0.78,149,149,708.35,4.72, 1.05, 0.76,154,154,703.18,4.43, 1.06, 0.76
1,155,155,906.86,6.25, 1.11, 0.88,166,166,881.38,5.46, 1.10, 0.86,165,165,818.27,4.96, 1.21, 0.80,170,170,805.98,4.73, 1.22, 0.78
1,124,124,731.55,6.27, 1.02, 0.81,143,143,716.69,5.08, 1.06, 0.78,144,144,712.39,5.11, 1.03, 0.77,151,151,677.72,4.52, 1.07, 0.74
1,165,165,928.07,6.03, 1.16, 0.81,169,169,891.36,5.35, 1.18, 0.76,179,179,822.86,4.37, 1.15, 0.69,185,185,848.29,4.86, 1.12, 0.72
1,141,141,827.78,6.08, 1.08, 0.84,146,146,827.17,5.97, 1.05, 0.86,152,152,778.92,5.25, 1.06, 0.80,154,154,774.81,5.22, 1.05, 0.81
1,179,179,1101.21,6.43, 1.13, 0.85,189,189,1049.57,5.85, 1.07, 0.81,204,204,1043.21,5.16, 1.12, 0.78,203,203,1054.04,5.39, 1.11, 0.82
1,140,140,842.66,6.25, 1.06, 0.85,159,159,788.99,5.22, 1.07, 0.79,169,169,764.95,4.60, 1.09, 0.76,155,155,808.58,6.02, 1.09, 0.81
1,150,150,868.46,6.40, 1.09, 0.84,155,155,822.07,5.54, 1.17, 0.79,182,182,813.13,4.49, 1.10, 0.79,188,188,832.44,4.40, 1.07, 0.80
