10,99,99.5,100,100
20,98,99.25,99.25,99.5
30,98.5,99.5,99.66666667,99.5
40,99,99.875,99.875,99.75
50,98.8,99.8,99.9,99.4
60,98.5,99.5,99.41666667,98.91666667
70,98.42857143,99.21428571,99.71428571,99.21428571
80,98.875,99.5,99.6875,99.3125
90,98.66666667,99.66666667,99.88888889,99.61111111
100,97.65,99.6,99.9,99.35
200,98,99.5,99.7,99.4
300,97.78333333,99.55,99.68333333,99.41666667
400,98.15,99.4875,99.825,99.325
500,97.82,99.31,99.59,99.37
600,97.89166667,99.40833333,99.68333333,99.2
700,97.78571429,99.33571429,99.7,99.12142857
800,97.46875,99.475,99.66875,99.2
900,98.11666667,99.51111111,99.73333333,99.26666667
1000,97.95,99.54,99.725,99.135
2000,97.955,99.4125,99.6825,99.185
3000,97.96333333,99.44,99.65166667,99.25
4000,97.97625,99.47625,99.69625,99.2725
5000,98.027,99.495,99.711,99.257
6000,97.94833333,99.475,99.69166667,99.3075
7000,97.86428571,99.46928571,99.71714286,99.27785714
8000,97.965,99.456875,99.690625,99.240625
9000,97.91555556,99.43944444,99.675,99.275
10000,97.9415,99.437,99.6935,99.251
20000,97.92775,99.4655,99.70075,99.28425
30000,97.915,99.45416667,99.69883333,99.27883333
40000,97.911625,99.46325,99.692875,99.265
50000,97.9436,99.467,99.6949,99.2668
